sample	QuigleyL_2016__ERS654090	QuigleyL_2016__ERS654089	QuigleyL_2016__ERS654088	QuigleyL_2016__ERS654087	QuigleyL_2016__ERS654086	QuigleyL_2016__ERS654085	QuigleyL_2016__ERS654084	QuigleyL_2016__ERS654083	QuigleyL_2016__ERS654082	QuigleyL_2016__ERS654081
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_paracasei|t__SGB7142_group	0.18626	0.09684	0.57234	0.24944	0.31855	0.50103	0.31094	0.2332	0.2162	0.23066
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii|t__SGB7020_group	11.94638	2.1499	0.07464	8.36439	8.78233	10.47396	19.2763	27.85368	2.71529	0.011
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_equicursoris|t__SGB7019	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helveticus|t__SGB7048_group	64.60708	58.19881	53.34897	58.75332	67.65511	60.03505	58.30183	47.28191	53.11791	52.5106
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.00185	0.0	0.0	0.00742	0.00606	0.0	0.00015	0.00582	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.00689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00485	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_laudensis|t__SGB7991	0.0	0.0	0.01962	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_piscium|t__SGB7987	0.0	0.0	0.08896	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_raffinolactis|t__SGB7989	0.0	0.0	0.01474	0.02934	0.02652	0.02435	0.04457	0.02264	0.0	0.0173
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__SGB8007	0.00012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00188
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	10.25433	17.88011	42.69447	11.05225	8.51562	12.01025	9.10485	4.32838	20.17821	46.2986
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_tyrobutyricum|t__SGB6207	0.09657	0	0	0.05989	0.00298	0	0.01359	0	0.11636	0.04749
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_meningitidis|t__SGB9461	0	0	0	0	0	0	0	0	0	0.00207
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fluorescens|t__SGB12127	0.0	0	0.0098	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fluorescens|t__SGB12163	0.0018	0	0.03329	0.00507	0.00435	0.00722	0.01334	0.01144	0.00078	0.0196
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fluorescens|t__SGB12213	0.0	0	0.00758	0.0	0.0	0.0	0.0021	0.0	0.0	0.00044
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_haemolytica|t__SGB33220	0.0	0.0	0.00196	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_lurida|t__SGB12150	0.0	0.0	0.00021	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_proteolytica|t__SGB12165	0.00527	0.00638	0.05027	0.0	0.0	0.0	0.00418	0.00099	0.00994	0.00478
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp_FW300_N1A1|t__SGB12256	0.0	0.0	0.00268	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp_WS_5010|t__SGB89069	0.00314	0.0	0.07504	0.00356	0.0036	0.00239	0.01209	0.0	0.00466	0.00777
