MAG_id	dataset_id	sample_id	SGB_assignment	avg_dist	SGB_id	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_Content
QuijadaN_2022__ERR7245779__bin.41	QuijadaN_2022	ERR7245779	SGB_assigned	0.0197552736842105	SGB93118	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium_SGB93118	2436677	174	20215	68.42	1.96	0.71
QuijadaN_2022__ERR7245779__bin.43	QuijadaN_2022	ERR7245779	SGB_assigned	0.0116046913513513	SGB69917	Other	Bacteria	Proteobacteria	CFGB15127	OFGB15127	FGB15127	GGB49922	GGB49922_SGB69917	2386053	158	21745	86.21	0.04	0.44
QuijadaN_2022__ERR7245779__bin.6	QuijadaN_2022	ERR7245779	SGB_assigned	0.0172811368553459	SGB60172	Other	Bacteria	Actinobacteria	CFGB22532	OFGB22532	FGB22532	GGB42949	GGB42949_SGB60172	2374826	129	26929	91.21	1.04	0.56
QuijadaN_2022__ERR7245779__bin.8	QuijadaN_2022	ERR7245779	SGB_assigned	0.0139464506470588	SGB17127	Species	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_casei	2207982	145	21015	82.95	0.05	0.56
QuijadaN_2022__ERR7245780__bin.1	QuijadaN_2022	ERR7245780	SGB_assigned	0.0065001883888888	SGB66234	Other	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	2855734	55	84196	96.12	1.82	0.67
QuijadaN_2022__ERR7245780__bin.11	QuijadaN_2022	ERR7245780	SGB_assigned	0.0141145884426229	SGB16632	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_yomogidense	2950019	190	25561	84.86	4.59	0.69
QuijadaN_2022__ERR7245780__bin.14	QuijadaN_2022	ERR7245780	SGB_assigned	0.0111916923287671	SGB99014	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Ruaniaceae	Ruania	Ruania_SGB99014	4585958	116	73580	98.42	0.24	0.69
QuijadaN_2022__ERR7245780__bin.19	QuijadaN_2022	ERR7245780	SGB_assigned	0.008409947032967	SGB33736	Species	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Flaviflexus	Flaviflexus_ciconiae	2712992	40	92735	99.38	0.97	0.6
QuijadaN_2022__ERR7245780__bin.20	QuijadaN_2022	ERR7245780	SGB_assigned	0.0137904986111111	SGB87477	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium_SGB87477	2899058	165	26798	85.22	1.41	0.7
QuijadaN_2022__ERR7245780__bin.22	QuijadaN_2022	ERR7245780	SGB_assigned	0.0130639205882352	SGB17127	Species	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_casei	2221985	121	29235	86.12	0.06	0.56
QuijadaN_2022__ERR7245780__bin.25	QuijadaN_2022	ERR7245780	SGB_assigned	0.0075202474626865	SGB98950	Genus	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified	Actinomycetales_unclassified_SGB98950	2939751	133	37198	93.32	1.71	0.73
QuijadaN_2022__ERR7245780__bin.27	QuijadaN_2022	ERR7245780	SGB_assigned	0.0168629253459119	SGB60172	Other	Bacteria	Actinobacteria	CFGB22532	OFGB22532	FGB22532	GGB42949	GGB42949_SGB60172	2300518	118	30051	91.46	1.26	0.56
QuijadaN_2022__ERR7245780__bin.28	QuijadaN_2022	ERR7245780	SGB_assigned	0.0239786931034482	SGB34830	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_sp_S111	3108333	219	23635	73.07	1.21	0.65
QuijadaN_2022__ERR7245780__bin.39	QuijadaN_2022	ERR7245780	SGB_assigned	0.0207995365079365	SGB69136	Other	Bacteria	Actinobacteria	CFGB47577	OFGB47577	FGB47577	GGB49272	GGB49272_SGB69136	1233649	24	66709	52.63	0.04	0.55
QuijadaN_2022__ERR7245780__bin.41	QuijadaN_2022	ERR7245780	SGB_assigned	0.0197910375722543	SGB16639	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_aurantiacum	2886870	207	20132	77.48	3.28	0.63
QuijadaN_2022__ERR7245780__bin.42	QuijadaN_2022	ERR7245780	SGB_assigned	0.0146710575955056	SGB7843	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2353303	87	53400	86.26	0.14	0.33
QuijadaN_2022__ERR7245780__bin.5	QuijadaN_2022	ERR7245780	SGB_assigned	0.0185698789473684	SGB66223	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_SGB66223	2866681	119	52352	93.43	3.69	0.69
QuijadaN_2022__ERR7245780__bin.6	QuijadaN_2022	ERR7245780	SGB_assigned	0.0119766658904109	SGB7879	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium	Alkalibacterium_gilvum	1894261	111	26990	91.61	1.5	0.37
