MAG_id	dataset_id	sample_id	SGB_assignment	avg_dist	SGB_id	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_Content
YangC_2021__SRR13259378__bin.22	YangC_2021	SRR13259378	SGB_assigned	0.035321412	SGB73277	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_SGB73277	2461926	834	3120	59.45	2.26	0.64
YangC_2021__SRR13259378__bin.4	YangC_2021	SRR13259378	SGB_assigned	0.0146405744269662	SGB7843	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2761057	102	111202	99.93	0.07	0.33
YangC_2021__SRR13259378__bin.8	YangC_2021	SRR13259378	SGB_assigned	0.0294102622641509	SGB60172	Other	Bacteria	Actinobacteria	CFGB22532	OFGB22532	FGB22532	GGB42949	GGB42949_SGB60172	1685983	463	3998	55.85	1.09	0.56
YangC_2021__SRR13259378__bin.9	YangC_2021	SRR13259378	SGB_assigned	0.0174752353006993	SGB7142	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2623313	125	37032	92.76	0.04	0.47
YangC_2021__SRR13259379__bin.12	YangC_2021	SRR13259379	SGB_assigned	0.014906635	SGB34904	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	2634429	117	38640	95.8	0.13	0.69
YangC_2021__SRR13259379__bin.13	YangC_2021	SRR13259379	SGB_assigned	0.0143887983673469	SGB7249	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1515346	66	36905	85.28	0.19	0.42
YangC_2021__SRR13259379__bin.15	YangC_2021	SRR13259379	SGB_assigned	0.033523174137931	SGB7842	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_succinus	2291844	33	191319	78.57	1.36	0.33
YangC_2021__SRR13259379__bin.16	YangC_2021	SRR13259379	SGB_assigned	0.0194607	SGB98769	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_SGB98769	3445949	102	61710	99.66	3.72	0.65
YangC_2021__SRR13259379__bin.17	YangC_2021	SRR13259379	SGB_assigned	0.0158247178571428	SGB17034	Species	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_variabile	2652691	594	5359	86.93	1.9	0.68
YangC_2021__SRR13259379__bin.18	YangC_2021	SRR13259379	SGB_assigned	0.0203386126724137	SGB7126	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1431806	90	26352	83.65	0.25	0.38
YangC_2021__SRR13259379__bin.22	YangC_2021	SRR13259379	SGB_assigned	0.0146634658227848	SGB7991	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_laudensis	1945112	125	24074	91.15	1.84	0.39
YangC_2021__SRR13259379__bin.26	YangC_2021	SRR13259379	SGB_assigned	0.025251406	SGB69231	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium_tyrofermentans	2735789	212	19275	71.24	1.35	0.7
YangC_2021__SRR13259379__bin.3	YangC_2021	SRR13259379	SGB_assigned	0.0473020364583333	SGB17566	Species	Bacteria	Deinococcus_Thermus	Deinococci	Thermales	Thermaceae	Thermus	Thermus_thermophilus	1087112	378	3038	60.03	0.81	0.69
YangC_2021__SRR13259379__bin.34	YangC_2021	SRR13259379	SGB_assigned	0.02492075	SGB16639	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_aurantiacum	3033337	111	46741	79.51	1.03	0.63
YangC_2021__SRR13259379__bin.35	YangC_2021	SRR13259379	SGB_assigned	0.0133520890186915	SGB7848	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_saprophyticus	1968097	42	79183	75.76	1.64	0.33
YangC_2021__SRR13259379__bin.36	YangC_2021	SRR13259379	SGB_assigned	0.0217563206896551	SGB7876	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Marinilactibacillus	Marinilactibacillus_psychrotolerans	2480517	158	30010	89.16	0.32	0.35
YangC_2021__SRR13259379__bin.40	YangC_2021	SRR13259379	SGB_assigned	0.0290349771900826	SGB7984	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1289077	55	30634	54.95	0.61	0.36
YangC_2021__SRR13259379__bin.8	YangC_2021	SRR13259379	SGB_assigned	0.02241928	SGB7117	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_hellenica	1061516	327	3579	55.24	0.78	0.36
