MAG_id	dataset_id	sample_id	SGB_id	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content	BUSCO_taxonomy
AlvarezOrdonezA_xxxx__C06-19__bin.13	AlvarezOrdonezA_xxxx	C06-19	SGB98502	Family	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	GGB71697	GGB71697_SGB98502	3581425	234	25319	95.74923547	1.796636086	0.637568845	
AlvarezOrdonezA_xxxx__C06-19__bin.3	AlvarezOrdonezA_xxxx	C06-19	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2183674	375	7828	95.02762431	3.038674033	0.367855275	
AlvarezOrdonezA_xxxx__C07-16__bin.4	AlvarezOrdonezA_xxxx	C07-16	SGB7987	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_piscium	1928485	321	8594	90.00457404	4.308176101	0.392794344	
AlvarezOrdonezA_xxxx__C07-16__bin.5	AlvarezOrdonezA_xxxx	C07-16	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	1313682	372	3958	58.79310345	0	0.379792065	
AlvarezOrdonezA_xxxx__C07-16__bin.7	AlvarezOrdonezA_xxxx	C07-16	SGB98454	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia_SGB98454	1638641	399	4812	73.66445916	2.207505519	0.608270512	
AlvarezOrdonezA_xxxx__C07-17__bin.1	AlvarezOrdonezA_xxxx	C07-17	SGB7987	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_piscium	1883186	300	9338	91.3081761	1.116352201	0.393866564	
AlvarezOrdonezA_xxxx__C07-18__bin.11	AlvarezOrdonezA_xxxx	C07-18	SGB7785	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_velezensis	3121599	707	5194	83.99676059	2.436463712	0.471578829	
AlvarezOrdonezA_xxxx__C07-18__bin.12	AlvarezOrdonezA_xxxx	C07-18	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2498525	443	7342	94.75138122	4.696132597	0.361501686	
AlvarezOrdonezA_xxxx__C07-18__bin.2	AlvarezOrdonezA_xxxx	C07-18	SGB10444	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_pasteurii	2221771	513	5111	80.58717077	2.751068376	0.429644189	
AlvarezOrdonezA_xxxx__C07-18__bin.6	AlvarezOrdonezA_xxxx	C07-18	SGB7987	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_piscium	2305120	367	10453	92.11292167	3.710691824	0.388481728	
AlvarezOrdonezA_xxxx__C07-19__bin.10	AlvarezOrdonezA_xxxx	C07-19	SGB17089	Species	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_testudinoris	2273482	574	4552	88.72613803	4.351443955	0.633324126	
AlvarezOrdonezA_xxxx__C07-19__bin.13	AlvarezOrdonezA_xxxx	C07-19	SGB31329	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	1221413	426	2977	53.44827586	0	0.430702801	
AlvarezOrdonezA_xxxx__C07-19__bin.17	AlvarezOrdonezA_xxxx	C07-19	SGB7785	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_velezensis	3507581	580	8081	94.73684211	4.051036683	0.471741351	
AlvarezOrdonezA_xxxx__C07-19__bin.8	AlvarezOrdonezA_xxxx	C07-19	SGB10444	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_pasteurii	2410223	389	7998	88.64409648	1.694139194	0.431500322	
AlvarezOrdonezA_xxxx__C07-19__bin.9	AlvarezOrdonezA_xxxx	C07-19	SGB7952	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_casseliflavus	2669867	667	4832	85.90876156	4.056603774	0.436679056	
AlvarezOrdonezA_xxxx__C08-18__bin.7	AlvarezOrdonezA_xxxx	C08-18	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2033201	545	4401	85.88962158	2.808471455	0.369429781	
AlvarezOrdonezA_xxxx__F01-16__bin.12	AlvarezOrdonezA_xxxx	F01-16	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2223035	403	7024	93.27808471	3.683241252	0.368385113	
AlvarezOrdonezA_xxxx__F01-16__bin.3	AlvarezOrdonezA_xxxx	F01-16	SGB12106	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_fragi	3899143	908	4933	80.52631579	3.50877193	0.592594065	
AlvarezOrdonezA_xxxx__F01-17__bin.2	AlvarezOrdonezA_xxxx	F01-17	SGB12106	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_fragi	3818567	1026	4259	79.70504466	2.990620491	0.592008468	
AlvarezOrdonezA_xxxx__F01-17__bin.3	AlvarezOrdonezA_xxxx	F01-17	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2282850	387	7798	95.3038674	0.920810313	0.366031058	
AlvarezOrdonezA_xxxx__F01-18__bin.11	AlvarezOrdonezA_xxxx	F01-18	SGB10459	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_immobilis	1885463	596	3405	67.00912564	1.348235098	0.433408664	
AlvarezOrdonezA_xxxx__F01-18__bin.6	AlvarezOrdonezA_xxxx	F01-18	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	1349375	413	3489	55.51724138	0	0.378404817	
AlvarezOrdonezA_xxxx__F01-19__bin.2	AlvarezOrdonezA_xxxx	F01-19	SGB96977	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_SGB96977	1298451	344	4142	79.01249811	3.417602996	0.376984576	
AlvarezOrdonezA_xxxx__F01-19__bin.6	AlvarezOrdonezA_xxxx	F01-19	SGB7252	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Dellaglioa	Dellaglioa_algida	1302389	365	3956	79.87363928	2.352904513	0.366254629	
AlvarezOrdonezA_xxxx__F01-31B__bin.4	AlvarezOrdonezA_xxxx	F01-31B	SGB96977	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_SGB96977	984519	312	3452	61.30482345	0.674157303	0.377510236	
AlvarezOrdonezA_xxxx__F02-18__bin.10	AlvarezOrdonezA_xxxx	F02-18	SGB96978	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Dellaglioa	Dellaglioa_SGB96978	1582701	41	75573	98.69109948	0.698080279	0.337751098	
AlvarezOrdonezA_xxxx__F02-18__bin.2	AlvarezOrdonezA_xxxx	F02-18	SGB7231	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus_versmoldensis	1281438	385	3722	52.28622754	0.916230366	0.398237761	
AlvarezOrdonezA_xxxx__F02-18__bin.3	AlvarezOrdonezA_xxxx	F02-18	SGB7248	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	952701	246	4390	64.77890316	1.992753623	0.411828055	
AlvarezOrdonezA_xxxx__F02-18__bin.4	AlvarezOrdonezA_xxxx	F02-18	SGB7249	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1482305	312	5953	51.72413793	3.448275862	0.427331757	
AlvarezOrdonezA_xxxx__F02-18__bin.7	AlvarezOrdonezA_xxxx	F02-18	SGB31329	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	2091340	515	4849	87.11350294	1.782897468	0.426786654	
AlvarezOrdonezA_xxxx__F02-19__bin.10	AlvarezOrdonezA_xxxx	F02-19	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2495397	371	8881	97.30453708	4.6218737	0.367413281	
AlvarezOrdonezA_xxxx__F02-19__bin.16	AlvarezOrdonezA_xxxx	F02-19	SGB96978	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Dellaglioa	Dellaglioa_SGB96978	712504	7	414403	56.89655172	0	0.3315027	
AlvarezOrdonezA_xxxx__F02-19__bin.17	AlvarezOrdonezA_xxxx	F02-19	SGB7248	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	1004727	244	5234	55.17241379	1.724137931	0.411046981	
AlvarezOrdonezA_xxxx__F02-19__bin.8	AlvarezOrdonezA_xxxx	F02-19	SGB31329	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	2251261	465	5823	81.03448276	1.724137931	0.423109981	
AlvarezOrdonezA_xxxx__F03-16__bin.4	AlvarezOrdonezA_xxxx	F03-16	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2274549	229	14462	97.55985267	0.828729282	0.36682261	
AlvarezOrdonezA_xxxx__F03-16__bin.6	AlvarezOrdonezA_xxxx	F03-16	SGB31329	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	1642244	438	4092	69.46511593	1.643835616	0.427603328	
AlvarezOrdonezA_xxxx__F03-17__bin.2	AlvarezOrdonezA_xxxx	F03-17	SGB31329	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	1342794	423	3337	56.89655172	3.448275862	0.434269143	
AlvarezOrdonezA_xxxx__F03-17__bin.5	AlvarezOrdonezA_xxxx	F03-17	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	1234841	392	3398	62.61510129	0	0.381441821	
AlvarezOrdonezA_xxxx__F03-18__bin.1	AlvarezOrdonezA_xxxx	F03-18	SGB29638	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_cerevisiae	2912387	264	15464	94.16666667	0.714285714	0.508296803	
AlvarezOrdonezA_xxxx__F03-18__bin.18	AlvarezOrdonezA_xxxx	F03-18	SGB10459	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_immobilis	1861783	652	2994	59.58690844	3.830891331	0.432738939	
AlvarezOrdonezA_xxxx__F03-18__bin.3	AlvarezOrdonezA_xxxx	F03-18	SGB7127	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_gelidum	1028688	202	6346	53.84535005	0	0.373354214	
AlvarezOrdonezA_xxxx__F03-18__bin.4	AlvarezOrdonezA_xxxx	F03-18	SGB7251	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_fuchuensis	1969536	275	9614	92.44389902	3.351449275	0.423016386	
AlvarezOrdonezA_xxxx__F03-18__bin.8	AlvarezOrdonezA_xxxx	F03-18	SGB31329	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	2171686	540	4646	85.7706023	3.885429639	0.421022652	
AlvarezOrdonezA_xxxx__F03-19__bin.16	AlvarezOrdonezA_xxxx	F03-19	SGB29638	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_cerevisiae	2093845	517	4705	65.3851461	0.9375	0.514522326	
AlvarezOrdonezA_xxxx__F03-19__bin.17	AlvarezOrdonezA_xxxx	F03-19	SGB96977	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_SGB96977	1246355	223	7740	74.27295434	2.161750936	0.372301632	
AlvarezOrdonezA_xxxx__F03-19__bin.2	AlvarezOrdonezA_xxxx	F03-19	SGB7248	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	980883	270	3851	57.36007199	1.91970547	0.410399609	
AlvarezOrdonezA_xxxx__F03-19__bin.3	AlvarezOrdonezA_xxxx	F03-19	SGB7127	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_gelidum	1122270	335	3446	51.43678161	2.586206897	0.373853885	
AlvarezOrdonezA_xxxx__F03-19__bin.4	AlvarezOrdonezA_xxxx	F03-19	SGB31329	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	2029316	544	4133	74.29467085	1.724137931	0.422894709	
AlvarezOrdonezA_xxxx__F03-19__bin.9	AlvarezOrdonezA_xxxx	F03-19	SGB7251	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_fuchuensis	1827675	290	8937	89.67391304	3.170289855	0.426507995	
AlvarezOrdonezA_xxxx__F03-31__bin.6	AlvarezOrdonezA_xxxx	F03-31	SGB31329	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_harbinensis	2036340	513	4477	83.43949772	2.173100872	0.42193838	
AlvarezOrdonezA_xxxx__F03-31__bin.9	AlvarezOrdonezA_xxxx	F03-31	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2246029	311	9494	95.99447514	0.460405157	0.365787797	
AlvarezOrdonezA_xxxx__F04-16__bin.6	AlvarezOrdonezA_xxxx	F04-16	SGB12105	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_paraversuta	4353892	654	8977	95.5969728	1.47203132	0.591052327	
AlvarezOrdonezA_xxxx__F04-17__bin.3	AlvarezOrdonezA_xxxx	F04-17	SGB7517	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	1085131	379	2994	58.68769679	0	0.383246815	
