dataset	#food samples filtered	source database	accession number	title	link
LeonardSR_2016	12	NCBI	PRJNA340876	Strain-Level Discrimination of Shiga Toxin-Producing Escherichia coli in Spinach Using Metagenomic Sequencing	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0167870
LiZ_2018	6	NCBI	PRJNA433075	Revealing the influence of microbiota on the quality of Pu-erh tea during fermentation process by shotgun metagenomic and metabolomic analysis	https://www.sciencedirect.com/science/article/pii/S0740002018301588
LiZ_2019	8	NCBI	PRJNA473190	Metagenomic insights into the changes in microbial community and antimicrobial resistance genes associated with different salt content of red pepper (Capsicum annuum L.) sauce	https://www.sciencedirect.com/science/article/abs/pii/S0740002019302989?via%3Dihub
LordanR_2019	5	NCBI	PRJEB30083	The effect of ovine milk fermentation on the antithrombotic properties of polar lipids	https://www.sciencedirect.com/science/article/pii/S1756464619300295
MASTER_WP4_CSIC_1	113	newly sequenced	newly sequenced	newly sequenced	newly sequenced
MASTER_WP4_CSIC_2	164	newly sequenced	newly sequenced	newly sequenced	newly sequenced
MASTER_WP4_FFoQSI_1	73	newly sequenced	newly sequenced	newly sequenced	newly sequenced
MASTER_WP4_FFoQSI_2	100	newly sequenced	newly sequenced	newly sequenced	newly sequenced
MASTER_WP4_FFoQSI_3	63	newly sequenced	newly sequenced	newly sequenced	newly sequenced
MASTER_WP4_MATIS_1	12	newly sequenced	newly sequenced	newly sequenced	newly sequenced
MASTER_WP4_TEAGASC_1	156	newly sequenced	newly sequenced	newly sequenced	newly sequenced
MASTER_WP4_UNINA_1	95	newly sequenced	newly sequenced	newly sequenced	newly sequenced
MASTER_WP4_UNINA_2	150	newly sequenced	newly sequenced	newly sequenced	newly sequenced
McHughAJ_2020	16	NCBI	PRJEB31110	Tracking the Dairy Microbiota from Farm Bulk Tank to Skimmed Milk Powder	https://msystems.asm.org/content/5/2/e00226-20#sec-12
MilaniC_2019	4	NCBI	PRJNA482503	Colonization of the human gut by bovine bacteria present in Parmesan cheese	https://www.nature.com/articles/s41467-019-09303-w
MortensenS_xxxx	375	newly sequenced	newly sequenced	newly sequenced	newly sequenced
PasolliE_2020	16	NCBI	PRJNA603575	Large-scale genome-wide analysis links lactic acid bacteria from food with the gut microbiome	https://www.nature.com/articles/s41467-020-16438-8
PatroJN_2016	10	NCBI	PRJNA291686	Culture-independent metagenomic surveillance of commercially available probiotics with high-throughput next-generation sequencing	 https://journals.asm.org/doi/full/10.1128/mSphere.00057-16?rfr_dat=cr_pub++0pubmed&url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org
PfeferT_xxxx	36	NCBI	PRJNA430402	Evaluation of Enriched Background Microflora of Raw Milk Cheese Spiked with E. coli O157:H7 and E. coli O103 using Next-Generation Sequencing Technology	https://iafp.confex.com/iafp/2016/webprogram/Paper11249.html
PorcellatoD_2016	12	MG-RAST	mgp14606	Bacterial dynamics and functional analysis of microbial metagenomes during ripening of Dutch-type cheese	https://www.sciencedirect.com/science/article/pii/S0958694616301686
PothakosV_2020	6	NCBI	PRJEB24129	Temporal shotgun metagenomics of an Ecuadorian coffee fermentation process highlights the predominance of lactic acid bacteria	https://www.sciencedirect.com/science/article/pii/S2590262820300034
QuigleyL_2016	10	NCBI	PRJEB6952	Thermus and the pink discolouration defect in cheese	https://msystems.asm.org/content/1/3/e00023-16#:~:text=The%20pink%20discoloration%20defect%20is,cheese%20industry%20worldwide%20(1).&text=It%20particularly%20impacts%20a%20range,consequential%20economic%20loss%20(1).
RippF_2014	1	NCBI	PRJNA271645	All-Food-Seq (AFS): a quantifiable screen for species in biological samples by deep DNA sequencing	https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-15-639
SalvettiE_2016	2	NCBI	PRJNA289617	Whole-Metagenome-Sequencing-Based Community Profiles of Vitis vinifera L. cv. Corvina Berries Withered in Two Post-harvest Conditions	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4917526/
SomervilleV_2019	1	NCBI	PRJNA454439	Long read-based de novo assembly of low complex metagenome samples results in finished genomes and reveals insights into strain diversity and an active phage system	https://bmcmicrobiol.biomedcentral.com/articles/10.1186/s12866-019-1500-0
SternesPR_2017	20	NCBI	PRJNA305659	A combined meta-barcoding and shotgun metagenomic analysis of spontaneous wine fermentation	https://academic.oup.com/gigascience/article/6/7/gix040/3862720
SulaimanJ_2014	7	NCBI	PRJNA185981	Microbial succession and the functional potential during the fermentation of Chinese soy sauce brine	https://www.frontiersin.org/articles/10.3389/fmicb.2014.00556/full
VerceM_2019	4	NCBI	PRJEB21603	Shotgun Metagenomics of a Water Kefir Fermentation Ecosystem Reveals a Novel Oenococcus Species	https://www.frontiersin.org/articles/10.3389/fmicb.2019.00479/full
WalshAM_2016	18	NCBI	PRJEB15432	Microbial Succession and Flavor Production in the Fermented Dairy Beverage Kefir	https://msystems.asm.org/content/1/5/e00052-16
WalshAM_2017	10	NCBI	PRJEB20873	Strain-Level Metagenomic Analysis of the Fermented Dairy Beverage Nunu Highlights Potential Food Safety Risks	https://aem.asm.org/content/83/16/e01144-17
WalshAM_2020	77	NCBI	PRJEB32768	Meta-analysis of cheese microbiomes highlights contributions to multiple aspects of quality	https://www.nature.com/articles/s43016-020-0129-3
WalshL_xxxx	266	newly sequenced	newly sequenced	newly sequenced	newly sequenced
WolfeBE_2014	24	MG-RAST	mgp3362	Cheese rind communities provide tractable systems for in situ and in vitro studies of microbial diversity	https://www.cell.com/fulltext/S0092-8674(14)00745-4
XieM_2019	1	GSA	CRA001049	An integrated metagenomic/metaproteomic investigation of microbiota in dajiang-meju, a traditional fermented soybean product in Northeast China	https://www.sciencedirect.com/science/article/pii/S0963996918308688
YaoG_2017	30	NCBI	PRJNA340315	A Perspective Study of Koumiss Microbiome by Metagenomics Analysis Based on Single-Cell Amplification Technique	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5293792/
YasirM_2020	2	NCBI	PRJEB36988	Comparative metagenomics and characterization of antimicrobial resistance genes in pasteurized and homemade fermented Arabian laban	https://www.sciencedirect.com/science/article/abs/pii/S0963996920306645
YulandiA_2020	2	NCBI	PRJNA605305	Shotgun metagenomic analysis reveals new insights into bacterial community profiles in tempeh	https://bmcresnotes.biomedcentral.com/articles/10.1186/s13104-020-05406-6
ZhaoCC_2020	5	NCBI	PRJNA594855	Shotgun metagenomics approach reveals the bacterial community and metabolic pathways in commercial hongeo product, a traditional Korean fermented skate product	https://www.sciencedirect.com/science/article/abs/pii/S0963996920300557?via%3Dihub
